original_frame_idx,extracted_15hz_idx,time_sec,success,reason,frame_keypoints,satellite_keypoints,good_matches,inliers,inlier_ratio,sat_px,sat_py,estimated_lat,estimated_lon,runtime_sec
1320,660,44.044000000000004,True,success,4366,2935,515,29,0.05631067961165048,23.507667541503906,294.88446044921875,43.52227148909973,-5.625114678896608,0.1240079402923584
1350,675,45.045,True,success,4505,2935,508,37,0.07283464566929133,23.65091896057129,294.80340576171875,43.522271573175594,-5.6251144739738095,0.1232452392578125
1380,690,46.046,True,success,4668,2935,529,9,0.017013232514177693,17.20367431640625,292.82720947265625,43.52227362303164,-5.625123696831253,0.1297760009765625
1410,705,47.047000000000004,True,success,4934,2935,556,17,0.030575539568345324,36.40114212036133,325.9808654785156,43.5222392336136,-5.625096234633276,0.1287369728088379
1440,720,48.048,True,success,4980,2935,518,41,0.07915057915057915,22.741342544555664,294.85430908203125,43.52227152037493,-5.62511577513331,0.1285851001739502
1470,735,49.049,True,success,5102,2935,524,17,0.03244274809160305,27.97233772277832,298.906982421875,43.52226731664405,-5.6251082921346836,0.13152503967285156
1500,750,50.050000000000004,True,success,5855,2935,626,38,0.06070287539936102,23.5356388092041,294.81768798828125,43.52227155836102,-5.625114638883389,0.14899301528930664
1530,765,51.051,True,success,4995,2935,532,17,0.03195488721804511,32.154571533203125,322.8428039550781,43.522242488643364,-5.625102309401228,0.1302628517150879
1560,780,52.052,False,not_enough_inliers,5485,2935,557,7,0.012567324955116697,,,,,0.13503789901733398
1590,795,53.053000000000004,True,success,5591,2935,543,17,0.03130755064456722,346.6740417480469,295.28460693359375,43.52227107403835,-5.624652385690098,0.14274191856384277
1620,810,54.054,False,not_enough_inliers,6042,2935,552,6,0.010869565217391304,,,,,0.1401050090789795
1650,825,55.055,True,success,6245,2935,601,9,0.014975041597337771,345.1251220703125,292.9456481933594,43.5222735001783,-5.62465460143747,0.14261317253112793
1680,840,56.056000000000004,True,success,6312,2935,577,8,0.01386481802426343,972.70947265625,407.9266662597656,43.5221542332991,-5.623756834822672,0.14289498329162598
1710,855,57.057,False,not_enough_inliers,6508,2935,600,7,0.011666666666666667,,,,,0.1479201316833496
1740,870,58.058,False,not_enough_inliers,6445,2935,568,7,0.01232394366197183,,,,,0.14459800720214844
1770,885,59.059000000000005,False,not_enough_inliers,6550,2935,597,7,0.011725293132328308,,,,,0.14519214630126953
1800,900,60.06,False,not_enough_inliers,6552,2935,605,7,0.011570247933884297,,,,,0.14429783821105957
1830,915,61.061,True,success,6640,2935,647,8,0.012364760432766615,969.48583984375,405.2393493652344,43.5221570207871,-5.6237614462664,0.1464838981628418
1860,930,62.062,True,success,6684,2935,639,8,0.012519561815336464,175.6497039794922,47.41912078857422,43.52252817779748,-5.624897037967713,0.14795398712158203
1890,945,63.063,False,not_enough_inliers,6744,2935,665,2,0.0030075187969924814,,,,,0.14722585678100586
1920,960,64.06400000000001,False,not_enough_inliers,6650,2935,649,7,0.01078582434514638,,,,,0.148209810256958
1950,975,65.065,False,not_enough_inliers,6058,2935,591,7,0.011844331641285956,,,,,0.14191389083862305
1980,990,66.066,True,success,6014,2935,569,9,0.015817223198594025,168.41885375976562,51.48984909057617,43.52252395535663,-5.624907381781924,0.13885498046875
2010,1005,67.06700000000001,False,not_enough_inliers,6175,2935,551,7,0.012704174228675136,,,,,0.14244508743286133
2040,1020,68.068,False,not_enough_inliers,6435,2935,610,7,0.011475409836065573,,,,,0.1445629596710205
2070,1035,69.069,False,not_enough_inliers,6869,2935,665,7,0.010526315789473684,,,,,0.14886021614074707
2100,1050,70.07000000000001,False,not_enough_inliers,6870,2935,633,7,0.011058451816745656,,,,,0.15076923370361328
2130,1065,71.071,True,success,6873,2935,662,9,0.013595166163141994,36.08977127075195,70.48005676269531,43.52250425739629,-5.625096680052877,0.14987802505493164
2160,1080,72.072,True,success,7123,2935,662,9,0.013595166163141994,25.712465286254883,73.64051055908203,43.52250097915381,-5.625111524908135,0.1518862247467041
2190,1095,73.07300000000001,False,not_enough_inliers,7155,2935,675,7,0.01037037037037037,,,,,0.15379595756530762
2220,1110,74.074,False,not_enough_inliers,7067,2935,670,7,0.010447761194029851,,,,,0.1513838768005371
2250,1125,75.075,False,not_enough_inliers,7008,2935,704,1,0.0014204545454545455,,,,,0.15221595764160156
2280,1140,76.07600000000001,True,success,6969,2935,667,9,0.013493253373313344,253.48524475097656,244.42771911621094,43.52232382651867,-5.624785693333507,0.14963412284851074
2310,1155,77.077,False,not_enough_inliers,6819,2935,596,5,0.008389261744966443,,,,,0.14878487586975098
2340,1170,78.078,False,not_enough_inliers,6729,2935,620,4,0.0064516129032258064,,,,,0.14911389350891113
2370,1185,79.07900000000001,True,success,6466,2935,577,8,0.01386481802426343,870.8963623046875,377.0331726074219,43.522186278355754,-5.623902479645295,0.17479300498962402
2400,1200,80.08,True,success,6350,2935,610,8,0.013114754098360656,175.3835906982422,53.51016616821289,43.52252185974394,-5.624897418645816,0.1456928253173828
2430,1215,81.081,False,not_enough_inliers,6267,2935,588,0,0.0,,,,,0.14425206184387207
2460,1230,82.08200000000001,False,not_enough_inliers,6141,2935,601,7,0.011647254575707155,,,,,0.14165687561035156
2490,1245,83.083,True,success,5963,2935,563,8,0.014209591474245116,546.101318359375,1103.1895751953125,43.52143304978245,-5.624367102682555,0.14017415046691895
2520,1260,84.084,False,not_enough_inliers,6057,2935,613,4,0.0065252854812398045,,,,,0.14398193359375
2550,1275,85.08500000000001,False,not_enough_inliers,5677,2935,566,7,0.012367491166077738,,,,,0.1375880241394043
2580,1290,86.086,False,not_enough_inliers,5862,2935,548,6,0.010948905109489052,,,,,0.14095115661621094
2610,1305,87.087,False,not_enough_inliers,6739,2935,680,1,0.0014705882352941176,,,,,0.14902901649475098
2640,1320,88.08800000000001,False,not_enough_inliers,6775,2935,685,7,0.010218978102189781,,,,,0.14843297004699707
2670,1335,89.089,False,not_enough_inliers,6332,2935,572,5,0.008741258741258742,,,,,0.14418888092041016
2700,1350,90.09,False,not_enough_inliers,6033,2935,615,5,0.008130081300813009,,,,,0.14021921157836914
2730,1365,91.09100000000001,True,success,5845,2935,599,8,0.01335559265442404,538.3425903320312,1131.9686279296875,43.52140319761087,-5.624378201632027,0.13909482955932617
2760,1380,92.092,True,success,5689,2935,522,11,0.0210727969348659,823.3525390625,345.9112243652344,43.522218560365495,-5.62397049162999,0.13709378242492676
2790,1395,93.093,True,success,5531,2935,523,10,0.019120458891013385,542.253662109375,1123.8284912109375,43.52141164128008,-5.624372606798971,0.13483881950378418
2820,1410,94.09400000000001,True,success,5653,2935,521,14,0.026871401151631478,539.2725219726562,1130.5296630859375,43.52140469023247,-5.624376871354144,0.13701558113098145
2850,1425,95.095,True,success,5540,2935,544,15,0.027573529411764705,543.08251953125,1128.905517578125,43.52140637493978,-5.624371421108918,0.13555383682250977
2880,1440,96.096,True,success,5673,2935,569,11,0.019332161687170474,538.0814819335938,1128.10302734375,43.521407207353576,-5.624378575150615,0.136915922164917
2910,1455,97.09700000000001,True,success,5501,2935,551,11,0.019963702359346643,632.7034301757812,797.6002807617188,43.521750033037904,-5.6242432173678765,0.13602089881896973
2940,1470,98.098,False,not_enough_inliers,5839,2935,540,1,0.001851851851851852,,,,,0.13909292221069336
2970,1485,99.099,True,success,5522,2935,534,10,0.018726591760299626,550.492919921875,1088.582275390625,43.5214482017564,-5.624360820446128,0.14481616020202637
3000,1500,100.10000000000001,False,not_enough_inliers,5363,2935,497,0,0.0,,,,,0.13500380516052246
3030,1515,101.101,False,not_enough_inliers,5419,2935,507,7,0.013806706114398421,,,,,0.13445830345153809
3060,1530,102.102,True,success,5279,2935,481,14,0.029106029106029108,398.7876892089844,1142.8238525390625,43.52139193761075,-5.624577836519421,0.13370132446289062
3090,1545,103.10300000000001,True,success,5218,2935,461,12,0.026030368763557483,538.5931396484375,1130.271484375,43.52140495803826,-5.624377843218355,0.13321900367736816
3120,1560,104.104,True,success,4986,2935,440,21,0.04772727272727273,539.2628784179688,1130.5330810546875,43.52140468668704,-5.62437688514936,0.12964797019958496
3150,1575,105.105,True,success,5449,2935,505,20,0.039603960396039604,538.6314697265625,1132.514892578125,43.52140263097687,-5.624377788386738,0.134537935256958
3180,1590,106.10600000000001,True,success,4992,2935,483,17,0.035196687370600416,539.1834106445312,1130.717529296875,43.52140449536103,-5.624376998828922,0.12988996505737305
3210,1605,107.107,True,success,5305,2935,485,23,0.04742268041237113,539.0166625976562,1130.676025390625,43.52140453841254,-5.624377237363916,0.13262319564819336
3240,1620,108.108,True,success,5361,2935,511,21,0.0410958904109589,398.7768859863281,1142.90576171875,43.52139185264727,-5.624577851973555,0.13422012329101562
3270,1635,109.10900000000001,True,success,5386,2935,474,25,0.052742616033755275,539.2631225585938,1130.495361328125,43.52140472581329,-5.624376884800114,0.1520860195159912
3300,1650,110.11,True,success,5187,2935,486,20,0.0411522633744856,539.3646850585938,1129.9564208984375,43.52140528484996,-5.624376739513792,0.13866901397705078
3330,1665,111.111,True,success,5174,2935,458,14,0.03056768558951965,543.2891235351562,1128.9881591796875,43.521406289216614,-5.62437112555952,0.13196206092834473
3360,1680,112.11200000000001,True,success,4585,2935,411,15,0.0364963503649635,539.417724609375,1130.2481689453125,43.521404982223096,-5.624376663640106,0.12515521049499512
3390,1695,113.113,True,success,4386,2935,382,13,0.034031413612565446,539.2586059570312,1130.780029296875,43.5214044305305,-5.624376891261164,0.12454724311828613
3420,1710,114.114,True,success,4891,2935,423,19,0.04491725768321513,538.7763671875,1130.31591796875,43.52140491194782,-5.624377581109286,0.1279439926147461
3450,1725,115.11500000000001,True,success,5467,2935,499,15,0.03006012024048096,539.2593383789062,1130.5281982421875,43.52140469175194,-5.624376890213426,0.13493609428405762
3480,1740,116.116,False,not_enough_inliers,5546,2935,496,3,0.006048387096774193,,,,,0.1389451026916504
3510,1755,117.117,True,success,5400,2935,513,18,0.03508771929824561,539.6521606445312,1130.339111328125,43.52140488788961,-5.624376328276668,0.13529706001281738
3540,1770,118.11800000000001,False,not_enough_inliers,5570,2935,536,4,0.007462686567164179,,,,,0.13573098182678223
3570,1785,119.119,True,success,5581,2935,545,10,0.01834862385321101,398.8396911621094,1142.952392578125,43.52139180427762,-5.624577762130031,0.13638925552368164
3600,1800,120.12,True,success,5495,2935,462,9,0.01948051948051948,320.8377990722656,348.23779296875,43.522216147075326,-5.624689344731706,0.1382131576538086
3630,1815,121.121,True,success,5432,2935,539,24,0.04452690166975881,320.434326171875,345.1881408691406,43.5222193104015,-5.62468992190432,0.13542389869689941
3660,1830,122.122,True,success,5489,2935,531,18,0.03389830508474576,322.1971130371094,319.574951171875,43.52224587830206,-5.624687400217482,0.13559579849243164
3690,1845,123.123,True,success,5524,2935,546,25,0.045787545787545784,320.4967041015625,346.45086669921875,43.52221800060829,-5.624689832671976,0.13937807083129883
3720,1860,124.124,True,success,5632,2935,556,22,0.039568345323741004,320.3321533203125,346.3343505859375,43.52221812146749,-5.624690068063757,0.1364281177520752
3750,1875,125.125,True,success,5677,2935,620,24,0.03870967741935484,186.4770050048828,59.34993362426758,43.52251580233264,-5.624881549389357,0.13791584968566895
3780,1890,126.126,True,success,5959,2935,586,28,0.04778156996587031,320.2894592285156,350.734130859375,43.5222135576877,-5.624690129138145,0.14145708084106445
3810,1905,127.127,True,success,5974,2935,670,23,0.034328358208955224,185.05551147460938,49.60495376586914,43.52252591050042,-5.624883582852192,0.14184904098510742
3840,1920,128.12800000000001,True,success,5872,2935,636,8,0.012578616352201259,297.46112060546875,303.1031799316406,43.52226296403904,-5.624722785338491,0.1379079818725586
3870,1935,129.129,True,success,5981,2935,700,52,0.07428571428571429,320.4200744628906,346.2894592285156,43.52221816803213,-5.624689942291553,0.1425020694732666
3900,1950,130.13,True,success,5877,2935,688,41,0.059593023255813955,320.5467529296875,345.9080505371094,43.52221856365763,-5.624689761076553,0.13889670372009277
3930,1965,131.131,True,success,5920,2935,672,41,0.06101190476190476,320.55078125,346.34222412109375,43.52221811330047,-5.6246897553139945,0.1422438621520996
3960,1980,132.132,True,success,5934,2935,685,46,0.06715328467153285,320.1887512207031,346.97784423828125,43.52221745398798,-5.624690273202106,0.14036035537719727
3990,1995,133.133,True,success,5729,2935,697,29,0.04160688665710186,317.4839172363281,346.1312255859375,43.522218332163845,-5.624694142498157,0.13821697235107422
4020,2010,134.13400000000001,True,success,6186,2935,705,37,0.0524822695035461,320.763427734375,347.8118896484375,43.52221658885398,-5.624689451120759,0.14229202270507812
4050,2025,135.135,True,success,5564,2935,677,15,0.022156573116691284,175.5329132080078,47.28804016113281,43.52252831376336,-5.624897205038252,0.13627171516418457
4080,2040,136.136,True,success,5295,2935,603,23,0.03814262023217247,320.2876281738281,346.65643310546875,43.522217787379525,-5.6246901317574896,0.13228702545166016
4110,2055,137.137,True,success,5114,2935,559,11,0.01967799642218247,324.2706298828125,351.63153076171875,43.52221262683766,-5.6246844340278415,0.13164973258972168
4140,2070,138.138,True,success,5158,2935,577,18,0.03119584055459272,320.42169189453125,346.3652038574219,43.52221808946417,-5.624689939977799,0.13164520263671875
4170,2085,139.139,True,success,4948,2935,510,11,0.021568627450980392,383.4241943359375,506.0192565917969,43.52205248416912,-5.624599814175156,0.12954306602478027
4200,2100,140.14000000000001,False,not_enough_inliers,4969,2935,563,3,0.0053285968028419185,,,,,0.13033413887023926
4230,2115,141.141,True,success,4992,2935,532,11,0.020676691729323307,183.9517059326172,52.0095100402832,43.522523416328326,-5.624885161858657,0.1322917938232422
4260,2130,142.142,True,success,4915,2935,476,11,0.023109243697478993,362.3523864746094,334.6514587402344,43.52223023983134,-5.624629957638064,0.12930083274841309
4290,2145,143.143,True,success,5231,2935,546,12,0.02197802197802198,-7.991917133331299,283.857421875,43.52228292715373,-5.625159739413931,0.13303613662719727
4320,2160,144.144,False,not_enough_inliers,5017,2935,478,7,0.014644351464435146,,,,,0.12909221649169922
4350,2175,145.145,True,success,5281,2935,527,9,0.017077798861480076,24.74192237854004,299.2055969238281,43.52226700689911,-5.625112913280901,0.13361787796020508
4380,2190,146.14600000000002,True,success,5382,2935,550,9,0.016363636363636365,378.8800964355469,523.6988525390625,43.522034145523044,-5.6246063145593155,0.13465499877929688
4410,2205,147.147,True,success,5538,2935,516,8,0.015503875968992248,218.87173461914062,791.197021484375,43.521756675026225,-5.624835208356927,0.13839411735534668
4440,2220,148.148,False,not_enough_inliers,5382,2935,521,4,0.007677543186180422,,,,,0.13646912574768066
4470,2235,149.149,False,not_enough_inliers,5178,2935,487,7,0.014373716632443531,,,,,0.1337888240814209
4500,2250,150.15,False,not_enough_inliers,5207,2935,492,2,0.0040650406504065045,,,,,0.13171982765197754
4530,2265,151.151,True,success,5274,2935,480,8,0.016666666666666666,960.7764282226562,408.3132629394531,43.52215383229182,-5.623773905179661,0.13306021690368652
4560,2280,152.15200000000002,False,not_enough_inliers,5194,2935,487,5,0.01026694045174538,,,,,0.13291287422180176
4590,2295,153.153,True,success,5210,2935,462,9,0.01948051948051948,910.9708862304688,988.103759765625,43.52155242679216,-5.62384515257898,0.13554000854492188
4620,2310,154.154,False,not_enough_inliers,5177,2935,445,4,0.008988764044943821,,,,,0.13418292999267578
4650,2325,155.155,False,not_enough_inliers,5075,2935,405,7,0.01728395061728395,,,,,0.13137602806091309
4680,2340,156.156,False,not_enough_inliers,5071,2935,429,6,0.013986013986013986,,,,,0.12993407249450684
4710,2355,157.157,True,success,5226,2935,497,8,0.01609657947686117,552.0301513671875,1117.72802734375,43.52141796921956,-5.6243586214189065,0.13283300399780273
4740,2370,158.15800000000002,False,not_enough_inliers,5136,2935,430,6,0.013953488372093023,,,,,0.1312720775604248
4770,2385,159.159,False,not_enough_inliers,5156,2935,403,7,0.017369727047146403,,,,,0.132432222366333
4800,2400,160.16,False,not_enough_inliers,5395,2935,476,7,0.014705882352941176,,,,,0.13476800918579102
4830,2415,161.161,False,not_enough_inliers,4977,2935,424,7,0.01650943396226415,,,,,0.1302320957183838
4860,2430,162.162,False,not_enough_inliers,5095,2935,422,7,0.016587677725118485,,,,,0.14269518852233887
4890,2445,163.163,False,not_enough_inliers,5071,2935,440,6,0.013636363636363636,,,,,0.1317150592803955
4920,2460,164.16400000000002,False,not_enough_inliers,5146,2935,417,7,0.016786570743405275,,,,,0.13724207878112793
4950,2475,165.165,False,not_enough_inliers,5414,2935,478,7,0.014644351464435146,,,,,0.13650202751159668
4980,2490,166.166,True,success,5536,2935,460,8,0.017391304347826087,135.17286682128906,67.17523956298828,43.52250768538234,-5.624954940547724,0.13765716552734375
5010,2505,167.167,False,not_enough_inliers,6330,2935,563,5,0.008880994671403197,,,,,0.1516869068145752
5040,2520,168.168,True,success,5228,2935,448,11,0.024553571428571428,22.048612594604492,287.0928039550781,43.52227957117814,-5.625116766091452,0.1339397430419922
5070,2535,169.169,False,not_enough_inliers,5493,2935,501,6,0.011976047904191617,,,,,0.1367199420928955
5100,2550,170.17000000000002,True,success,5523,2935,506,10,0.019762845849802372,27.300825119018555,291.8974304199219,43.52227458746679,-5.625109252741169,0.13882708549499512
5130,2565,171.171,True,success,5820,2935,544,16,0.029411764705882353,30.217073440551758,296.2468566894531,43.52227007592215,-5.625105081014482,0.14661598205566406
5160,2580,172.172,True,success,5824,2935,582,19,0.03264604810996564,26.995180130004883,303.72882080078125,43.522262315078216,-5.625109689969861,0.14186596870422363
5190,2595,173.173,True,success,5939,2935,570,15,0.02631578947368421,23.53080177307129,294.8773498535156,43.52227149647534,-5.6251146458028245,0.16448497772216797
5220,2610,174.174,True,success,5885,2935,569,12,0.0210896309314587,145.40379333496094,73.61595153808594,43.522501004628126,-5.624940305089979,0.1406419277191162
5250,2625,175.175,True,success,6095,2935,609,15,0.024630541871921183,143.36029052734375,67.67229461669922,43.522507169802296,-5.624943228344165,0.14759302139282227
5280,2640,176.17600000000002,True,success,5961,2935,573,13,0.02268760907504363,163.1701202392578,72.22894287109375,43.52250244333002,-5.624914890155452,0.14243793487548828
5310,2655,177.177,True,success,6142,2935,603,16,0.026533996683250415,165.0943603515625,70.01610565185547,43.52250473863864,-5.624912137507891,0.15522003173828125
5340,2670,178.178,True,success,6403,2935,616,19,0.030844155844155844,143.40440368652344,67.51998901367188,43.52250732778425,-5.6249431652397845,0.1576399803161621
5370,2685,179.179,True,success,6541,2935,660,16,0.024242424242424242,143.3570556640625,66.32003021240234,43.52250857246486,-5.624943232971674,0.15956592559814453
5400,2700,180.18,True,success,6654,2935,646,13,0.020123839009287926,143.59144592285156,80.31266021728516,43.52249405833559,-5.624942897673719,0.15045619010925293
5430,2715,181.181,True,success,7612,2935,766,11,0.014360313315926894,198.80615234375,78.03907775878906,43.52249641665371,-5.624863912402617,0.16602230072021484
5460,2730,182.18200000000002,True,success,7156,2935,649,9,0.01386748844375963,204.7678985595703,99.0823974609375,43.52247458905286,-5.6248553840562465,0.18162989616394043
5490,2745,183.183,True,success,7245,2935,700,12,0.017142857142857144,152.0911865234375,80.28140258789062,43.52249409075818,-5.624930738697259,0.15606904029846191
5520,2760,184.184,False,not_enough_inliers,7296,2935,674,0,0.0,,,,,0.15632200241088867
5550,2775,185.185,True,success,6958,2935,629,15,0.02384737678855326,151.2804412841797,77.3888931274414,43.52249709107049,-5.624931898477627,0.15201306343078613
5580,2790,186.186,True,success,6814,2935,680,13,0.01911764705882353,140.06153869628906,66.11808013916016,43.52250878194152,-5.624947947246511,0.16118693351745605
5610,2805,187.187,False,not_enough_inliers,6907,2935,648,6,0.009259259259259259,,,,,0.15621399879455566
5640,2820,188.18800000000002,True,success,7276,2935,712,17,0.023876404494382022,23.50941276550293,295.1420593261719,43.52227122189922,-5.625114676400045,0.15612483024597168
5670,2835,189.189,True,success,6996,2935,680,14,0.020588235294117647,143.3966827392578,67.69173431396484,43.522507149638095,-5.624943176284688,0.15384793281555176
5700,2850,190.19,False,not_enough_inliers,6695,2935,687,5,0.00727802037845706,,,,,0.1498098373413086
5730,2865,191.191,True,success,6172,2935,672,8,0.011904761904761904,345.97125244140625,293.5294494628906,43.52227289461671,-5.624653391038265,0.16728591918945312
5760,2880,192.192,False,not_enough_inliers,5931,2935,671,0,0.0,,,,,0.14170074462890625
5790,2895,193.193,True,success,5379,2935,604,12,0.019867549668874173,97.30628204345703,149.90716552734375,43.52242187002125,-5.625009109131753,0.14730596542358398
5820,2910,194.19400000000002,False,not_enough_inliers,5026,2935,625,5,0.008,,,,,0.13178086280822754
5850,2925,195.195,True,success,4924,2935,597,24,0.04020100502512563,25.275129318237305,294.6996765136719,43.52227168077119,-5.625112150522256,0.13599085807800293
5880,2940,196.196,True,success,4895,2935,632,16,0.02531645569620253,25.736215591430664,295.63092041015625,43.52227071481656,-5.6251114909330795,0.1332871913909912
5910,2955,197.197,True,success,5493,2935,663,22,0.033182503770739065,97.71456146240234,399.39697265625,43.522163080940935,-5.625008525083359,0.14193010330200195
5940,2970,198.198,True,success,5425,2935,660,20,0.030303030303030304,24.9349422454834,296.75323486328125,43.522269550669456,-5.625112637163767,0.13710808753967285
5970,2985,199.199,False,not_enough_inliers,5085,2935,636,3,0.0047169811320754715,,,,,0.1341860294342041
6000,3000,200.20000000000002,True,success,4844,2935,624,33,0.052884615384615384,143.18844604492188,67.65869140625,43.52250718391251,-5.624943474169697,0.1305530071258545
