ms,source,est_lat,est_lon,gt_lat,gt_lon,pos_err_m
0,anchor,43.52129749884473,-5.625820158456264,43.521958,-5.624292,143.19049049095585
200,vo,43.52129780998395,-5.625819535775224,43.521958,-5.624292,143.129757272104
400,vo,43.521299347531816,-5.625816458689984,43.521958,-5.624291,142.8987847871872
600,vo,43.52129922891095,-5.625816696085207,43.521958,-5.624291,142.92193847200912
800,vo,43.521298083623456,-5.6258189881421385,43.521958,-5.624291,143.1454887381744
1001,vo,43.52129981145778,-5.625815530237759,43.521958,-5.624291,142.8082309328458
1201,vo,43.521302625681585,-5.625809898148671,43.521958,-5.624291,142.25892715558652
1401,vo,43.52130333699944,-5.625808474592542,43.521958,-5.624291,142.1200876672179
1601,vo,43.521308734912786,-5.6257976717811955,43.521958,-5.624291,141.06650885584054
1801,vo,43.52131647195892,-5.625782187677556,43.521957,-5.624291,139.49983017532753
2002,vo,43.521324002309946,-5.62576711723157,43.521957,-5.624292,137.96096642105726
2202,vo,43.52133128250665,-5.625752547417925,43.521957,-5.624291,136.60953900734793
2402,vo,43.52133792177235,-5.62573926029562,43.521957,-5.624291,135.31397713114768
2602,vo,43.52134614244704,-5.625722808309081,43.521957,-5.624291,133.70991133419602
2802,vo,43.521353672092246,-5.625707739275648,43.521957,-5.624292,132.1713730549154
3003,vo,43.52136030332289,-5.625694468233837,43.521957,-5.624292,130.87756691201233
3203,vo,43.52136497961783,-5.6256851095930624,43.521957,-5.624292,129.96522509376936
3403,vo,43.52136837701138,-5.625678310409899,43.521957,-5.624291,129.371879767707
3603,vo,43.521371871003815,-5.6256713179039535,43.521957,-5.624292,128.62078368232181
3803,vo,43.52137197096446,-5.625671117853321,43.521957,-5.624292,128.60128290991136
4004,vo,43.52137296541113,-5.625669127673207,43.521957,-5.624292,128.40728266355637
4204,vo,43.52137345223827,-5.6256681533889985,43.521957,-5.624292,128.3123112574307
4404,vo,43.5213740704285,-5.625666916208636,43.521958,-5.624292,128.24777560894586
4604,vo,43.5213764633248,-5.625662127319731,43.521958,-5.624292,127.780945848614
4804,vo,43.52137746808649,-5.625660116496235,43.521958,-5.624292,127.58492982291024
5005,vo,43.52138011377649,-5.625654821692847,43.521958,-5.624292,127.06879780266901
5205,vo,43.521384277953494,-5.625646487950576,43.521958,-5.624293,126.18696461321952
5405,vo,43.52138918115925,-5.625636675194541,43.521959,-5.624292,125.35595272864742
5605,vo,43.52139452226262,-5.6256259860766615,43.521959,-5.624292,124.31404654303569
5805,vo,43.52139997096519,-5.625615081621145,43.521959,-5.624292,123.25120162192533
6006,vo,43.52140575349415,-5.625603509080902,43.521959,-5.624292,122.12329705500225
6206,vo,43.5214120119108,-5.625590984149513,43.521959,-5.624291,120.9722466031135
6406,vo,43.52141833660317,-5.625578326580903,43.521959,-5.624291,119.73876798597402
6606,vo,43.521425060612096,-5.6255648698624965,43.521959,-5.62429,118.49718819484764
6806,vo,43.52143146432795,-5.625552054144675,43.521959,-5.62429,117.24849911248579
7007,vo,43.52143719744119,-5.625540580499819,43.521959,-5.62429,116.13064707092461
7207,vo,43.5214425587758,-5.625529850893267,43.521959,-5.62429,115.08534952147927
7407,vo,43.52144738991271,-5.62552018236818,43.521959,-5.624291,114.07366743112533
7607,vo,43.521452080411756,-5.625510795300793,43.521959,-5.624291,113.15923995932899
7807,vo,43.52145643641559,-5.625502077656664,43.521959,-5.62429,112.3799328421099
8008,vo,43.52146093892942,-5.6254930668029575,43.521958,-5.624291,111.37735739755361
8208,vo,43.521465283407764,-5.625484372224716,43.521958,-5.62429,110.60053918816924
8408,vo,43.521469556801804,-5.62547581990706,43.521958,-5.624291,109.69772108879866
8608,vo,43.521474089357405,-5.625466748930935,43.521958,-5.62429,108.88440082558488
8808,vo,43.521480945085436,-5.625453028603885,43.521958,-5.62429,107.54847293521122
9009,vo,43.5214756563612,-5.625463612895719,43.521958,-5.624291,108.50902390512367
9209,vo,43.521479806474055,-5.625455307299949,43.521958,-5.624291,107.7002965792136
9409,vo,43.5214841322062,-5.625446650238368,43.521958,-5.62429,106.927465211753
9609,vo,43.5214878009957,-5.625439307912116,43.521958,-5.62429,106.21264041037905
9809,vo,43.52149114390845,-5.625432617761052,43.521958,-5.62429,105.56134310175945
10010,vo,43.52149393783969,-5.625427026283342,43.521958,-5.62429,105.0170286836257
10210,vo,43.521496468024374,-5.625421962640032,43.521958,-5.62429,104.52411757140858
10410,vo,43.52149847648909,-5.625417943111742,43.521958,-5.62429,104.13285773860414
10610,vo,43.521500091571184,-5.625414710857711,43.521958,-5.624291,103.74806609941905
10810,vo,43.52150148949466,-5.625411913201919,43.521958,-5.624291,103.47574777294751
11011,vo,43.521502606359306,-5.625409678027445,43.521958,-5.624291,103.25818462047512
11211,vo,43.52150349320737,-5.6254079031837785,43.521958,-5.624292,103.01524899564953
11411,vo,43.521504243389934,-5.6254064018479495,43.521958,-5.624292,102.86911394321122
11611,vo,43.52150484102046,-5.625405205813604,43.521958,-5.624292,102.75269718133434
11811,vo,43.521505033274714,-5.625404821056313,43.521958,-5.624292,102.71524682429985
12012,vo,43.52150500506859,-5.625404877505065,43.521958,-5.624292,102.72074125703853
12212,vo,43.52150536501976,-5.625404157136962,43.521958,-5.624292,102.65062449534481
12412,vo,43.52150592448334,-5.625403037485886,43.521959,-5.624292,102.59600846957913
12612,vo,43.52150924784216,-5.625396386467973,43.521959,-5.624291,102.01878742509268
12812,vo,43.521517677755554,-5.625379515733264,43.521959,-5.624291,100.37681821658514
13013,vo,43.5215233934377,-5.625368076973144,43.521959,-5.624291,99.26365776281341
13213,vo,43.52153319550181,-5.625348460161499,43.521959,-5.624291,97.35491576610292
13413,vo,43.521541662849735,-5.6253315145092895,43.521959,-5.62429,95.77680106445571
13613,vo,43.5215487393831,-5.6253173522858555,43.52196,-5.624288,94.59385264913341
13813,vo,43.52156009840299,-5.62529461954802,43.521961,-5.624285,92.64820852221209
14014,vo,43.521563616667535,-5.625287578466462,43.521962,-5.62428,92.3700060245517
14214,vo,43.52156195989321,-5.625290894158908,43.521965,-5.624275,93.20518132259316
14414,vo,43.521557791751015,-5.625299235836686,43.521968,-5.624268,94.67041309748633
14614,vo,43.521552037477846,-5.625310751828781,43.521971,-5.62426,96.51499583369569
14814,vo,43.52154524531037,-5.625324344952481,43.521974,-5.62425,98.70269444381452
15015,vo,43.52153847203031,-5.62533790027692,43.521978,-5.624239,101.01080085372615
15215,vo,43.521532219925206,-5.625350412577068,43.521982,-5.624226,103.35845342565653
15415,vo,43.521526328604445,-5.625362202841679,43.521986,-5.624211,105.77685644552442
15615,vo,43.521523271147046,-5.625368321712694,43.521991,-5.624196,107.69724596960909
15815,vo,43.52152203908415,-5.6253707874327175,43.521996,-5.624181,109.26237721873376
16016,vo,43.52151931871528,-5.6253762316904945,43.522,-5.624166,111.06383163688008
16216,vo,43.52151839967756,-5.625378070955119,43.522004,-5.624152,112.44432298252158
16416,vo,43.521519102303806,-5.625376664793456,43.522008,-5.624137,113.58017685470966
16616,vo,43.52152106683635,-5.625372733186355,43.522013,-5.624123,114.45308576136769
