frame,frame_ms,est_lat,est_lon,gt_lat,gt_lon,pos_err_m,est_yaw,gt_yaw,yaw_err_deg,inliers,alt_m
frame_0000000000ms.jpg,0,43.52129749884473,-5.625820158456264,43.521958,-5.624292,143.19049049095585,40.37151192266906,170.3,129.92848807733094,672,6.577
frame_0000005005ms.jpg,5005,43.521798199513235,-5.625430137983386,43.521958,-5.624292,93.30712885206346,-55.781796300273996,170.4,133.81820369972598,68,20.478
frame_0000010010ms.jpg,10010,43.52129131164128,-5.6238526583222495,43.521958,-5.62429,81.94770944629362,7.061878628764763,170.4,163.33812137123525,571,45.797
frame_0000015015ms.jpg,15015,43.52143001507889,-5.6236651954207275,43.521978,-5.624239,76.37276300374033,0.591197160736915,66.0,65.40880283926309,335,49.868
frame_0000020020ms.jpg,20020,43.521287673701636,-5.624274545538611,43.522073,-5.623923,91.64836058673146,8.387464089627965,66.4,58.01253591037204,599,49.892
frame_0000025025ms.jpg,25025,43.52178924635814,-5.6247307803862725,43.522098,-5.623837,79.68431186908526,13.2433716626572,68.3,55.0566283373428,313,49.977
frame_0000030030ms.jpg,30030,43.521961079942834,-5.624492137616727,43.522148,-5.623664,69.80890767672028,3.30838874581787,68.5,65.19161125418213,792,49.955
frame_0000035001ms.jpg,35001,43.52211560534584,-5.625526548409908,43.522198,-5.623491,164.0901522935397,9.234512656657538,68.5,59.265487343342464,473,49.96
frame_0000040006ms.jpg,40006,43.52137058605003,-5.625997263691062,43.522223,-5.623398,229.60837174376883,161.6557423416859,121.7,39.955742341685905,506,50.093
frame_0000045011ms.jpg,45011,43.521139683825986,-5.623561807100742,43.52213,-5.623282,112.2083554017432,8.359522443483982,137.6,129.240477556516,586,50.01
frame_0000050016ms.jpg,50016,43.52116037879553,-5.623568858213076,43.522037,-5.623165,102.59071655831335,9.864907345304589,137.9,128.0350926546954,244,49.992
frame_0000055021ms.jpg,55021,43.52142144885791,-5.624089668748894,43.521972,-5.623129,98.55558480248031,-82.68984692165505,162.8,114.51015307834496,16,49.926
frame_0000060026ms.jpg,60026,43.52173460112438,-5.623935605112166,43.521843,-5.623073,70.46376577351135,-0.5598878768385424,162.9,163.45988787683854,247,49.996
frame_0000065031ms.jpg,65031,43.5219951254984,-5.6240932786970745,43.521773,-5.623044,87.97934363236958,20.12259003797476,-164.7,175.17740996202525,268,49.981
frame_0000070003ms.jpg,70003,43.52128463678278,-5.625122616842674,43.521655,-5.6231,167.90623699285266,-56.99773230896833,-161.3,104.30226769103169,270,49.959
frame_0000075008ms.jpg,75008,43.52149874672529,-5.625019838338886,43.52156,-5.623144,151.1351104471015,-49.004572378421486,-161.0,111.99542762157851,450,50.074
frame_0000080013ms.jpg,80013,43.52121126801522,-5.624538537671725,43.521479,-5.62322,110.20877292562449,8.370914969371022,-145.5,153.87091496937103,371,49.925
frame_0000085018ms.jpg,85018,43.522087672076616,-5.625592881801168,43.521381,-5.623312,199.63943009667162,10.178021478222695,-145.5,155.6780214782227,252,50.036
frame_0000090023ms.jpg,90023,43.521069763375756,-5.6247364424273485,43.52135,-5.623414,110.89298513706585,-57.50821454438833,-111.1,53.591785455611664,459,49.959
frame_0000095028ms.jpg,95028,43.52147047069758,-5.62412846975738,43.521302,-5.623589,47.276584243010014,95.43332182105327,-111.1,153.46667817894672,606,50.001
frame_0000100033ms.jpg,100033,43.521227137931106,-5.623346650194691,43.521287,-5.623677,27.406934276932805,-5.258830394544839,-94.2,88.94116960545516,322,49.989
frame_0000105004ms.jpg,105004,43.521511710593096,-5.624097800832061,43.521277,-5.623864,32.13840507369982,10.362954407726296,-94.4,104.7629544077263,334,50.018
frame_0000110009ms.jpg,110009,43.52149378591551,-5.624105155133549,43.52127,-5.623951,27.766662615358317,11.7644453081014,-96.6,108.3644453081014,678,50.006
frame_0000115014ms.jpg,115014,43.52170850289892,-5.625343273226719,43.521254,-5.624135,109.55859774300403,-56.33915560550172,-96.9,40.56084439449828,315,50.026
frame_0000120019ms.jpg,120019,43.5208652883765,-5.62523651577456,43.521244,-5.624224,91.69863710370771,27.342189309527317,-100.5,127.84218930952731,402,49.991
frame_0000125024ms.jpg,125024,43.521273104846834,-5.6259816044143065,43.52122,-5.624396,127.75858535290683,42.88257425752862,-100.9,143.7825742575286,255,50.019
frame_0000130029ms.jpg,130029,43.520807759922654,-5.624971204965078,43.521223,-5.624496,59.89475192251521,37.35452170329474,-84.5,121.85452170329475,25,50.05
frame_0000135001ms.jpg,135001,43.52122136762505,-5.624600985305989,43.521232,-5.624584,1.8060638730973588,-3.700182484197287,-9.0,5.299817515802713,768,50.051
frame_0000140006ms.jpg,140006,43.521348048442896,-5.624598327489622,43.521358,-5.624587,1.4322845745279043,7.287811937971531,-1.1,8.38781193797153,804,49.944
frame_0000145011ms.jpg,145011,43.52142370811245,-5.6246113241871,43.521426,-5.624588,1.8944753457326216,64.8084900712742,0.6,64.20849007127421,1165,49.959
frame_0000150016ms.jpg,150016,43.521537242904046,-5.624605395955115,43.521554,-5.624586,2.4283516047981903,10.140405286055737,0.3,9.840405286055736,1211,50.003
frame_0000155021ms.jpg,155021,43.52162650162247,-5.624614274224115,43.521625,-5.624592,1.8005329266412609,27.1424761127085,-3.9,31.0424761127085,668,49.925
frame_0000160026ms.jpg,160026,43.52166233296858,-5.624609382597811,43.521712,-5.624599,5.5760165276121905,6.526264612893599,-18.7,25.226264612893598,804,50.029
frame_0000170003ms.jpg,170003,43.521550339597766,-5.624440678133652,43.521796,-5.624804,39.98381484770111,115.31202628329831,-80.5,164.1879737167017,294,50.051
frame_0000180013ms.jpg,180013,43.52185789402533,-5.625122851110319,43.521815,-5.625052,7.428951231207152,10.966251173858682,-85.4,96.36625117385869,191,50.034
frame_0000185018ms.jpg,185018,43.52187432359483,-5.625212131148402,43.521852,-5.625147,5.798373480567238,-0.6259399508425121,-60.3,59.67406004915748,228,50.016
frame_0000190023ms.jpg,190023,43.522002546352184,-5.62541818640446,43.521894,-5.625207,20.834976069072415,-65.80322048119072,-33.2,32.60322048119072,300,49.953
frame_0000195028ms.jpg,195028,43.52204643174385,-5.625721137648071,43.522,-5.625306,33.8084255293219,-79.3240966424106,-34.1,45.22409664241059,297,49.987
frame_0000200033ms.jpg,200033,43.52200053676028,-5.625641334849462,43.52201,-5.625396,19.774233685092955,-47.35854266106313,-92.5,45.14145733893687,230,50.001
frame_0000205004ms.jpg,205004,43.52243850625898,-5.625094746605356,43.522013,-5.625483,56.63313862868564,-100.87794476151934,-75.8,25.077944761519348,406,49.98
frame_0000210009ms.jpg,210009,43.52201657669445,-5.62587912956522,43.522041,-5.625633,19.994904319667082,-29.85832533196615,-76.8,46.94167466803385,333,50.011
frame_0000215014ms.jpg,215014,43.52211293432316,-5.6256074212108444,43.522123,-5.625593,1.611089604159873,28.850988146954048,20.6,8.250988146954047,880,49.905
frame_0000220019ms.jpg,220019,43.522217750180815,-5.6255483920670315,43.522225,-5.62554,1.0506307895831541,19.839547933140448,20.5,0.6604520668595519,1835,50.026
frame_0000225024ms.jpg,225024,43.52207928151655,-5.6258377209274215,43.522236,-5.62542,37.85482677742839,0.30847630033846923,83.9,83.59152369966154,932,49.994
